age,education_level,years_of_experience,technical_test_score,interview_score,previous_employment,suitable_for_employment
50.0,PhD,23,74.9,7.6,Yes,Yes
54.0,Bachelor's,30,71.6,5.3,Yes,Yes
44.0,PhD,17,55.4,5.9,Yes,Yes
50.0,High School,31,44.4,8.4,Yes,Yes
21.0,High School,3,75.0,7.7,Yes,No
39.0,Master's,15,30.9,6.5,No,No
19.0,Bachelor's,0,59.6,6.8,No,No
27.0,High School,9,13.9,6.5,No,No
22.0,Bachelor's,0,38.3,5.6,Yes,No
27.0,Master's,3,47.5,6.5,Yes,No
50.0,Bachelor's,27,86.9,7.5,Yes,Yes
55.0,Bachelor's,32,78.8,6.2,Yes,Yes
30.0,Bachelor's,6,53.9,7.3,No,No
48.0,Bachelor's,26,79.6,4.8,Yes,Yes
64.0,PhD,35,82.8,5.3,No,Yes
53.0,High School,34,61.8,5.0,No,No
62.0,Bachelor's,39,37.3,5.4,No,No
41.0,Master's,17,60.8,9.1,Yes,Yes
,High School,,63.0,8.0,No,No
46.0,Bachelor's,24,40.4,4.3,No,No
25.0,Bachelor's,1,72.3,7.4,No,No
22.0,Bachelor's,0,70.6,5.7,Yes,No
46.0,Bachelor's,22,73.9,5.1,Yes,Yes
64.0,Bachelor's,40,70.6,3.5,Yes,Yes
21.0,Bachelor's,0,79.6,8.4,No,No
29.0,Bachelor's,7,61.4,3.8,No,No
62.0,Bachelor's,39,69.0,6.4,Yes,Yes
19.0,High School,0,57.0,4.6,No,No
44.0,Bachelor's,21,53.3,8.1,No,Yes
48.0,PhD,20,91.8,5.8,Yes,Yes
53.0,Bachelor's,29,24.1,6.2,Yes,No
53.0,Master's,27,82.5,6.3,Yes,Yes
43.0,Bachelor's,,52.6,7.1,No,No
60.0,Master's,35,50.0,6.5,Yes,Yes
44.0,PhD,15,70.2,6.4,No,Yes
22.0,High School,2,35.2,5.5,Yes,No
37.0,Bachelor's,14,48.7,3.4,Yes,No
28.0,Bachelor's,4,48.0,4.3,Yes,No
27.0,Bachelor's,4,60.6,7.9,Yes,No
57.0,High School,37,48.9,5.9,Yes,Yes
55.0,Master's,30,97.0,5.2,Yes,Yes
23.0,High School,3,100.0,3.7,Yes,No
25.0,Bachelor's,1,24.6,3.1,Yes,No
40.0,Bachelor's,18,75.9,5.1,Yes,Yes
64.0,High School,45,82.2,8.3,Yes,Yes
,PhD,,75.9,5.4,Yes,Yes
63.0,Master's,39,51.8,7.3,,Yes
60.0,Bachelor's,36,60.1,5.3,No,Yes
29.0,Bachelor's,6,50.0,7.8,Yes,No
43.0,High School,24,56.6,5.8,Yes,No
30.0,Master's,4,40.8,4.0,No,No
57.0,High School,37,62.7,6.0,No,No
35.0,Bachelor's,11,34.9,10.0,Yes,Yes
42.0,Master's,16,61.0,10.0,Yes,Yes
50.0,High School,31,40.0,7.5,No,No
64.0,Master's,40,69.1,6.2,No,Yes
57.0,High School,38,51.4,7.1,Yes,Yes
60.0,PhD,32,70.8,7.1,Yes,Yes
29.0,High School,10,86.6,6.4,Yes,No
61.0,Bachelor's,,96.8,7.4,Yes,Yes
53.0,Bachelor's,29,14.4,6.9,No,No
65.0,Master's,41,48.3,5.9,Yes,Yes
21.0,Bachelor's,0,58.9,4.1,Yes,No
22.0,High School,3,74.2,5.6,No,No
54.0,Bachelor's,32,32.0,8.1,Yes,Yes
25.0,Bachelor's,1,45.4,6.4,Yes,No
59.0,Bachelor's,36,67.6,7.1,Yes,Yes
45.0,Master's,19,66.7,5.9,Yes,Yes
48.0,Bachelor's,25,72.6,4.4,No,No
26.0,Bachelor's,3,73.9,6.0,Yes,No
46.0,High School,28,71.8,4.5,Yes,No
31.0,Bachelor's,,68.9,4.3,Yes,No
57.0,Bachelor's,33,,8.9,No,Yes
58.0,Bachelor's,35,78.3,5.7,Yes,Yes
39.0,High School,19,20.2,5.0,Yes,No
28.0,Bachelor's,6,95.9,9.7,No,Yes
40.0,PhD,13,20.9,8.1,No,No
18.0,Bachelor's,0,43.4,5.8,No,No
63.0,Bachelor's,41,60.5,7.4,Yes,Yes
54.0,Master's,30,78.5,6.0,Yes,Yes
38.0,Master's,12,5.1,5.1,Yes,No
,Bachelor's,,64.4,7.4,No,Yes
63.0,Bachelor's,39,80.8,5.9,No,Yes
53.0,Master's,29,84.9,6.7,No,Yes
40.0,High School,21,51.1,8.5,No,No
18.0,Bachelor's,0,59.0,8.3,Yes,No
57.0,High School,38,52.7,5.4,No,No
32.0,Bachelor's,9,57.1,7.5,No,No
38.0,Bachelor's,15,44.4,4.2,No,No
64.0,Master's,40,47.2,7.4,No,Yes
26.0,,,73.7,6.8,Yes,Yes
26.0,Bachelor's,2,67.6,7.3,Yes,No
27.0,Bachelor's,5,74.8,5.9,Yes,No
43.0,Bachelor's,20,69.3,10.0,Yes,Yes
58.0,Master's,33,79.1,4.7,Yes,Yes
52.0,Bachelor's,28,82.6,8.4,No,Yes
42.0,PhD,15,30.2,4.4,No,No
43.0,Bachelor's,19,47.9,7.5,No,No
28.0,Bachelor's,5,,7.7,Yes,Yes
55.0,Master's,30,64.5,6.6,Yes,Yes
19.0,Bachelor's,0,51.6,5.5,Yes,No
24.0,High School,5,83.2,6.8,Yes,No
35.0,Master's,11,100.0,7.0,Yes,Yes
44.0,Bachelor's,21,68.7,10.0,No,Yes
51.0,Master's,,66.7,4.8,Yes,Yes
44.0,PhD,17,82.0,5.4,Yes,Yes
,Bachelor's,,27.7,7.1,Yes,No
60.0,Bachelor's,,65.6,6.0,No,No
61.0,Bachelor's,37,84.6,6.3,No,Yes
41.0,Bachelor's,17,52.1,8.6,No,Yes
42.0,Master's,17,40.5,0.9,No,No
24.0,Master's,0,61.3,5.3,Yes,No
23.0,Bachelor's,1,63.8,3.0,No,No
41.0,High School,21,46.8,4.1,Yes,No
50.0,Bachelor's,27,100.0,10.0,Yes,Yes
46.0,Bachelor's,24,55.4,7.7,Yes,Yes
60.0,Master's,36,41.9,8.4,No,Yes
39.0,High School,19,63.1,6.3,No,No
43.0,Master's,17,83.2,8.0,Yes,Yes
45.0,Bachelor's,23,65.3,3.0,Yes,No
38.0,Master's,12,74.7,8.6,No,Yes
24.0,Bachelor's,2,47.6,4.9,Yes,No
34.0,Bachelor's,11,94.8,5.4,No,No
37.0,Bachelor's,13,76.2,7.5,Yes,Yes
58.0,Master's,32,86.0,7.1,Yes,Yes
37.0,Bachelor's,14,72.3,6.7,,Yes
39.0,Bachelor's,17,81.5,3.8,Yes,No
45.0,Bachelor's,23,47.5,6.7,No,No
57.0,High School,37,,8.4,No,Yes
24.0,Bachelor's,2,91.9,5.4,Yes,No
18.0,PhD,0,96.2,9.1,No,Yes
49.0,High School,30,42.1,4.8,No,No
30.0,Bachelor's,7,70.0,6.5,Yes,No
47.0,Bachelor's,24,56.4,9.6,Yes,Yes
40.0,Bachelor's,16,51.1,5.1,Yes,No
36.0,High School,17,70.7,8.6,Yes,Yes
49.0,Bachelor's,26,87.8,10.0,Yes,Yes
47.0,High School,29,74.0,6.8,No,Yes
46.0,High School,27,58.6,5.4,Yes,No
62.0,Master's,36,75.3,5.0,Yes,Yes
46.0,Bachelor's,23,57.8,9.1,Yes,Yes
47.0,PhD,18,73.2,9.1,Yes,Yes
33.0,High School,15,92.9,9.4,Yes,Yes
57.0,Bachelor's,35,23.5,6.4,Yes,No
36.0,High School,17,80.9,8.6,Yes,Yes
35.0,Bachelor's,13,34.2,6.4,Yes,No
18.0,PhD,0,89.6,4.7,Yes,No
31.0,Master's,7,52.3,8.7,Yes,Yes
64.0,High School,44,40.6,9.8,Yes,Yes
19.0,Bachelor's,0,78.9,4.5,Yes,No
45.0,Bachelor's,22,72.3,4.4,Yes,No
47.0,High School,28,45.0,6.6,Yes,No
55.0,High School,36,39.9,8.4,Yes,Yes
21.0,PhD,0,61.3,4.2,Yes,No
18.0,PhD,0,40.9,7.0,Yes,No
25.0,PhD,0,43.8,5.3,No,No
46.0,Master's,20,67.3,7.9,Yes,Yes
56.0,Bachelor's,32,45.7,4.9,Yes,No
20.0,Bachelor's,0,73.5,8.0,Yes,Yes
49.0,High School,31,94.8,6.2,No,Yes
27.0,,,62.0,4.6,No,No
27.0,Bachelor's,5,67.6,6.6,Yes,No
36.0,Master's,12,100.0,2.6,Yes,No
63.0,Master's,37,41.2,5.4,Yes,Yes
51.0,PhD,24,88.8,7.2,Yes,Yes
50.0,Master's,25,86.4,3.0,Yes,Yes
40.0,PhD,11,82.1,1.4,Yes,No
45.0,High School,27,90.8,1.8,Yes,No
49.0,Master's,23,70.6,9.2,Yes,Yes
,Bachelor's,,53.3,6.3,Yes,No
46.0,Bachelor's,22,86.9,5.4,No,Yes
25.0,PhD,0,87.7,8.4,Yes,Yes
18.0,Master's,0,87.1,5.7,No,No
20.0,High School,2,65.9,7.0,Yes,No
41.0,High School,23,50.7,6.6,Yes,No
40.0,Bachelor's,18,68.8,5.6,No,No
25.0,Bachelor's,1,83.8,7.1,Yes,Yes
64.0,PhD,35,85.5,8.0,Yes,Yes
54.0,High School,36,56.4,6.1,Yes,Yes
,High School,,71.3,5.6,Yes,No
50.0,Bachelor's,26,38.8,5.8,Yes,No
45.0,High School,27,84.7,1.9,Yes,No
64.0,High School,45,49.3,7.1,Yes,Yes
25.0,PhD,0,80.7,4.1,Yes,No
51.0,Bachelor's,27,42.0,7.8,Yes,Yes
52.0,Bachelor's,29,85.6,6.3,Yes,Yes
49.0,High School,30,71.4,6.7,No,Yes
41.0,Bachelor's,18,49.4,7.9,Yes,Yes
31.0,Master's,7,78.8,4.6,Yes,No
49.0,Bachelor's,27,53.2,7.2,No,Yes
63.0,Master's,38,80.0,7.0,Yes,Yes
60.0,Bachelor's,38,59.5,6.1,Yes,Yes
33.0,Bachelor's,9,30.6,4.6,Yes,No
21.0,Bachelor's,0,45.4,7.7,Yes,No
54.0,Bachelor's,30,56.4,7.9,Yes,Yes
38.0,Master's,14,92.4,6.7,Yes,Yes
31.0,Bachelor's,8,83.0,4.4,Yes,No
48.0,,,97.5,5.4,Yes,Yes
65.0,High School,47,98.1,6.4,No,Yes
35.0,Bachelor's,11,54.3,7.9,Yes,Yes
24.0,PhD,0,61.2,3.3,No,No
27.0,Bachelor's,3,56.8,5.4,No,No
24.0,Bachelor's,2,51.6,5.7,Yes,No
50.0,PhD,21,28.2,6.3,Yes,No
40.0,Bachelor's,18,64.7,3.9,Yes,No
38.0,Bachelor's,15,39.3,6.1,Yes,No
36.0,Bachelor's,13,64.3,5.9,No,No
65.0,Master's,41,100.0,4.4,Yes,Yes
36.0,Master's,10,54.8,6.3,Yes,No
53.0,Bachelor's,31,68.9,5.4,Yes,Yes
46.0,Bachelor's,23,83.1,7.5,Yes,Yes
35.0,PhD,6,70.6,4.7,Yes,No
19.0,High School,1,70.8,6.7,Yes,No
18.0,Bachelor's,0,57.8,4.9,Yes,No
64.0,High School,44,60.4,5.3,Yes,Yes
22.0,Master's,0,45.8,7.1,Yes,No
37.0,High School,18,81.9,7.0,Yes,Yes
28.0,Bachelor's,5,30.2,5.7,Yes,No
59.0,High School,39,84.4,6.0,Yes,Yes
19.0,Bachelor's,0,36.9,3.6,Yes,No
20.0,Master's,0,84.3,9.3,Yes,Yes
40.0,Bachelor's,17,57.9,7.9,Yes,Yes
29.0,Bachelor's,5,40.4,7.8,Yes,No
37.0,Bachelor's,13,76.6,3.3,Yes,No
22.0,Bachelor's,0,83.6,5.3,Yes,No
54.0,Master's,29,56.2,5.8,Yes,Yes
55.0,Bachelor's,32,79.4,2.6,Yes,Yes
47.0,Master's,21,19.3,8.3,Yes,No
26.0,High School,6,38.6,9.4,Yes,No
51.0,High School,33,90.8,10.0,No,Yes
61.0,Bachelor's,39,60.5,4.4,Yes,Yes
52.0,Bachelor's,28,27.8,6.7,Yes,No
39.0,Bachelor's,16,51.0,9.1,Yes,Yes
61.0,Master's,36,46.5,6.0,Yes,Yes
41.0,High School,23,61.7,5.4,Yes,No
34.0,High School,14,57.6,2.8,Yes,No
27.0,Master's,2,68.6,8.8,Yes,Yes
47.0,Master's,22,63.6,6.5,,Yes
63.0,High School,44,92.2,5.0,Yes,Yes
40.0,Bachelor's,17,73.5,7.1,No,Yes
49.0,Bachelor's,27,74.2,6.8,No,Yes
34.0,Master's,9,88.3,6.8,No,Yes
34.0,Master's,9,57.2,6.1,No,No
31.0,Master's,5,39.8,9.7,Yes,Yes
26.0,Master's,0,89.1,6.2,Yes,Yes
57.0,Bachelor's,35,67.7,9.7,Yes,Yes
19.0,Master's,0,67.8,7.6,Yes,Yes
62.0,Bachelor's,40,52.3,7.2,Yes,Yes
42.0,High School,24,52.7,6.3,No,No
56.0,Bachelor's,33,81.9,8.4,Yes,Yes
26.0,PhD,0,84.7,6.7,Yes,Yes
39.0,Master's,14,80.7,4.6,Yes,Yes
60.0,High School,41,,4.6,Yes,Yes
63.0,Master's,38,76.4,7.3,Yes,Yes
21.0,Master's,0,67.6,4.7,Yes,No
43.0,Bachelor's,21,61.5,6.4,No,No
46.0,Bachelor's,24,89.2,8.6,Yes,Yes
62.0,Master's,36,57.5,7.1,Yes,Yes
,Bachelor's,,72.4,5.1,Yes,No
40.0,High School,20,48.9,9.3,No,No
54.0,Master's,30,51.8,7.6,Yes,Yes
28.0,PhD,0,60.3,8.5,No,No
23.0,Bachelor's,1,48.9,2.0,No,No
35.0,Master's,9,81.0,7.2,Yes,Yes
38.0,Bachelor's,16,38.0,8.2,Yes,No
59.0,High School,41,67.0,9.9,Yes,Yes
53.0,Bachelor's,31,67.7,3.6,Yes,No
58.0,,,28.8,8.9,No,No
55.0,Master's,29,56.2,9.8,Yes,Yes
51.0,High School,,70.1,2.5,No,No
34.0,Bachelor's,12,73.6,7.5,Yes,Yes
54.0,Bachelor's,32,60.9,7.7,Yes,Yes
42.0,PhD,14,78.5,5.8,Yes,Yes
55.0,High School,36,62.8,5.5,Yes,Yes
29.0,High School,11,65.3,7.8,Yes,No
40.0,High School,20,70.0,5.3,Yes,No
59.0,Master's,34,83.5,6.1,Yes,Yes
39.0,High School,21,51.5,8.1,No,No
38.0,High School,19,55.3,10.0,Yes,Yes
44.0,High School,25,51.6,7.6,Yes,Yes
48.0,Master's,23,58.4,6.8,Yes,Yes
23.0,High School,3,93.5,5.5,No,No
44.0,Bachelor's,22,76.5,4.5,Yes,Yes
,Bachelor's,,42.4,8.7,Yes,Yes
,Bachelor's,,53.0,6.2,No,No
29.0,Master's,3,72.5,8.8,No,Yes
62.0,Bachelor's,38,46.9,5.8,Yes,Yes
,PhD,,50.5,5.2,No,No
27.0,PhD,0,91.9,,Yes,Yes
62.0,Bachelor's,40,52.7,6.3,No,Yes
34.0,Master's,9,84.1,4.1,Yes,No
43.0,Master's,17,90.1,10.0,Yes,Yes
38.0,Master's,12,50.3,5.2,No,No
45.0,Bachelor's,23,47.2,8.4,Yes,Yes
63.0,Bachelor's,39,59.5,8.2,Yes,Yes
19.0,Bachelor's,0,43.2,4.0,Yes,No
60.0,Master's,36,67.4,4.5,Yes,Yes
18.0,High School,0,60.9,5.9,Yes,No
53.0,High School,35,72.2,4.8,Yes,Yes
43.0,Bachelor's,19,92.9,10.0,No,Yes
46.0,High School,28,81.3,6.1,Yes,Yes
38.0,Bachelor's,15,74.8,8.3,No,Yes
28.0,High School,8,25.7,7.5,Yes,No
57.0,Bachelor's,34,73.9,7.0,Yes,Yes
,PhD,,99.5,6.6,Yes,Yes
53.0,Bachelor's,30,4.8,9.0,No,No
56.0,Master's,32,78.8,4.8,Yes,Yes
57.0,High School,38,61.8,10.0,Yes,Yes
52.0,High School,34,48.0,3.9,Yes,No
51.0,Master's,27,81.0,8.1,No,Yes
64.0,Master's,39,99.2,3.7,Yes,Yes
41.0,Bachelor's,19,80.5,5.9,Yes,Yes
39.0,PhD,12,57.6,6.7,No,No
22.0,PhD,0,46.1,5.5,Yes,No
50.0,PhD,21,67.9,6.1,No,Yes
53.0,Bachelor's,31,82.5,3.7,No,No
64.0,High School,46,57.3,4.5,Yes,No
37.0,Bachelor's,14,59.2,7.5,Yes,Yes
36.0,Bachelor's,14,100.0,6.6,Yes,Yes
,High School,,86.6,5.1,No,No
60.0,Master's,35,88.0,9.1,Yes,Yes
34.0,High School,14,35.8,4.1,No,No
62.0,Bachelor's,38,50.9,5.8,Yes,Yes
60.0,Bachelor's,37,66.5,5.5,Yes,Yes
51.0,Master's,25,45.0,7.7,Yes,Yes
26.0,Bachelor's,3,97.0,6.6,Yes,Yes
43.0,Master's,19,93.2,6.3,Yes,Yes
19.0,Bachelor's,0,54.3,2.8,Yes,No
26.0,Master's,2,100.0,8.2,Yes,Yes
26.0,PhD,0,64.9,6.1,Yes,No
57.0,Bachelor's,34,100.0,6.7,Yes,Yes
34.0,PhD,5,67.9,5.0,Yes,No
18.0,High School,0,76.5,4.7,Yes,No
42.0,Bachelor's,20,93.0,9.5,Yes,Yes
60.0,High School,42,90.6,3.0,No,No
57.0,Bachelor's,34,75.2,4.4,Yes,Yes
59.0,Master's,33,62.2,9.5,No,Yes
42.0,High School,23,75.3,7.8,Yes,Yes
56.0,Bachelor's,33,48.7,5.8,No,No
52.0,Bachelor's,29,68.0,9.0,Yes,Yes
20.0,Bachelor's,0,42.8,7.4,Yes,No
54.0,Bachelor's,31,29.4,7.0,Yes,Yes
61.0,Master's,35,66.0,7.0,Yes,Yes
61.0,High School,42,90.2,7.4,Yes,Yes
47.0,Bachelor's,25,83.5,7.5,Yes,Yes
55.0,Bachelor's,32,63.4,10.0,Yes,Yes
51.0,Bachelor's,28,99.9,6.1,Yes,Yes
29.0,Bachelor's,5,53.6,6.2,No,No
36.0,Master's,12,26.6,4.0,Yes,No
54.0,Bachelor's,32,21.4,6.4,Yes,No
61.0,Bachelor's,37,41.4,10.0,Yes,Yes
34.0,High School,14,81.3,8.5,Yes,Yes
27.0,Bachelor's,5,,5.4,Yes,No
64.0,Master's,38,74.2,6.6,Yes,Yes
29.0,High School,11,97.9,3.9,Yes,No
33.0,Bachelor's,10,43.0,4.6,Yes,No
41.0,Master's,16,74.6,6.8,Yes,Yes
36.0,Bachelor's,14,75.8,5.5,No,No
25.0,High School,7,47.8,4.4,No,No
48.0,Bachelor's,25,92.1,7.5,Yes,Yes
,High School,,59.2,6.3,Yes,No
34.0,Master's,9,57.3,3.4,Yes,No
40.0,High School,22,100.0,2.3,Yes,No
54.0,Master's,28,75.5,5.4,Yes,Yes
33.0,Bachelor's,9,83.5,3.3,Yes,No
23.0,Master's,0,92.1,2.8,Yes,No
25.0,High School,5,52.0,8.8,No,No
42.0,Bachelor's,19,90.0,6.3,No,Yes
35.0,Bachelor's,12,55.0,6.0,No,No
42.0,Bachelor's,18,54.1,6.1,Yes,No
29.0,Bachelor's,7,59.6,4.2,No,No
32.0,Master's,7,52.6,7.3,Yes,No
43.0,PhD,15,81.4,6.2,Yes,Yes
58.0,High School,39,70.3,5.0,No,No
62.0,High School,42,55.2,5.3,No,No
43.0,,,78.5,4.0,No,No
64.0,High School,46,59.5,5.7,Yes,Yes
49.0,PhD,20,58.4,6.0,Yes,Yes
27.0,Bachelor's,5,66.0,5.6,Yes,No
33.0,Bachelor's,11,,6.6,No,No
24.0,High School,4,72.8,6.3,Yes,No
34.0,High School,15,57.7,7.0,Yes,No
40.0,Bachelor's,18,81.9,8.4,Yes,Yes
43.0,PhD,14,60.6,7.7,Yes,Yes
38.0,PhD,10,51.9,8.4,No,Yes
39.0,High School,21,35.6,4.8,Yes,No
24.0,High School,6,84.7,5.5,Yes,No
31.0,High School,12,65.2,7.8,No,No
32.0,Master's,8,69.2,7.8,Yes,Yes
24.0,Bachelor's,,85.9,5.1,No,No
26.0,High School,8,55.5,7.7,No,No
65.0,High School,47,37.5,4.6,Yes,No
25.0,Bachelor's,2,,7.5,Yes,No
40.0,PhD,11,71.2,6.4,Yes,Yes
46.0,Bachelor's,23,59.7,3.7,Yes,No
35.0,High School,15,94.5,5.6,Yes,Yes
48.0,Bachelor's,,15.3,10.0,Yes,No
47.0,Bachelor's,25,87.4,6.9,Yes,Yes
56.0,High School,36,80.8,10.0,Yes,Yes
52.0,High School,32,74.1,3.6,Yes,No
35.0,Bachelor's,13,0.0,8.0,Yes,No
59.0,High School,40,90.7,1.4,Yes,No
56.0,High School,36,44.5,6.5,Yes,Yes
34.0,Bachelor's,12,54.8,7.8,Yes,Yes
31.0,Master's,7,61.6,8.2,No,No
48.0,Bachelor's,24,73.1,4.9,Yes,Yes
41.0,Bachelor's,17,77.8,8.6,No,Yes
52.0,Bachelor's,28,82.9,5.4,Yes,Yes
61.0,Bachelor's,39,81.3,6.2,Yes,Yes
62.0,High School,43,70.1,5.6,No,Yes
51.0,PhD,23,73.3,,Yes,Yes
20.0,High School,0,43.2,9.6,Yes,No
54.0,Bachelor's,32,50.0,6.6,Yes,Yes
60.0,Master's,36,82.9,8.7,Yes,Yes
57.0,Bachelor's,33,81.7,8.6,Yes,Yes
43.0,PhD,16,79.5,4.6,Yes,Yes
40.0,Bachelor's,18,54.7,8.9,Yes,Yes
61.0,Master's,37,83.2,7.5,No,Yes
56.0,Master's,,41.8,4.4,No,No
32.0,PhD,3,86.5,7.4,Yes,Yes
21.0,PhD,0,59.8,4.5,No,No
46.0,Master's,21,98.7,9.7,Yes,Yes
39.0,Master's,14,34.6,8.1,Yes,No
42.0,Bachelor's,18,100.0,6.4,No,Yes
30.0,High School,12,57.8,9.0,Yes,Yes
35.0,,,57.4,3.3,Yes,No
50.0,PhD,23,68.9,5.0,Yes,Yes
33.0,Master's,7,51.1,6.0,Yes,No
62.0,PhD,35,63.6,10.0,Yes,Yes
59.0,Master's,35,50.2,4.4,No,No
61.0,High School,42,51.0,,Yes,Yes
19.0,High School,1,74.7,3.6,Yes,No
52.0,Bachelor's,,47.0,8.3,Yes,Yes
59.0,High School,39,49.6,5.3,No,No
51.0,Bachelor's,28,37.5,6.2,Yes,No
47.0,PhD,19,54.9,8.0,Yes,Yes
30.0,Master's,6,91.2,6.2,No,Yes
30.0,Bachelor's,6,48.1,6.9,Yes,No
35.0,High School,16,50.4,7.6,Yes,No
49.0,Bachelor's,26,68.9,5.6,Yes,Yes
49.0,Bachelor's,27,57.6,6.2,Yes,Yes
52.0,Bachelor's,29,100.0,7.0,Yes,Yes
56.0,High School,36,61.7,8.2,Yes,Yes
63.0,Bachelor's,39,71.7,4.9,Yes,Yes
46.0,Bachelor's,23,83.9,0.5,No,No
46.0,PhD,17,83.5,7.9,Yes,Yes
61.0,High School,41,69.7,8.4,Yes,Yes
33.0,High School,15,61.8,6.9,No,No
61.0,High School,42,100.0,7.0,Yes,Yes
64.0,Bachelor's,41,63.0,5.4,Yes,Yes
27.0,Bachelor's,5,56.2,7.5,Yes,No
47.0,Master's,23,52.1,8.2,Yes,Yes
42.0,Bachelor's,20,30.5,6.6,Yes,No
56.0,Bachelor's,34,81.4,10.0,Yes,Yes
37.0,Bachelor's,13,18.0,3.4,No,No
22.0,Bachelor's,0,64.9,6.8,Yes,No
18.0,High School,0,60.9,4.2,Yes,No
47.0,,,100.0,8.3,Yes,Yes
20.0,Master's,0,28.4,3.3,No,No
62.0,Master's,37,47.0,3.8,Yes,Yes
31.0,Master's,6,62.3,5.2,No,No
47.0,High School,29,61.0,7.0,Yes,Yes
21.0,,,54.0,5.3,Yes,No
35.0,PhD,6,63.4,5.3,Yes,No
54.0,High School,34,39.8,6.1,Yes,No
42.0,High School,22,72.1,6.0,Yes,No
65.0,High School,45,18.6,9.5,Yes,Yes
18.0,Bachelor's,0,64.5,7.9,No,No
63.0,High School,44,53.0,5.9,No,No
32.0,Bachelor's,8,85.3,10.0,Yes,Yes
26.0,Bachelor's,4,100.0,7.5,No,Yes
,PhD,,58.4,4.6,Yes,No
41.0,High School,21,92.8,7.0,Yes,Yes
21.0,Bachelor's,0,58.7,7.6,Yes,No
29.0,Bachelor's,7,45.7,5.1,Yes,No
54.0,Bachelor's,30,99.9,4.4,Yes,Yes
54.0,Bachelor's,31,75.4,6.7,Yes,Yes
60.0,Master's,36,65.1,5.8,No,Yes
23.0,High School,5,78.7,9.5,Yes,Yes
56.0,Master's,30,70.5,8.0,No,Yes
63.0,Bachelor's,40,63.6,5.2,Yes,Yes
41.0,High School,22,38.5,7.4,Yes,No
28.0,Master's,3,59.6,9.0,No,Yes
30.0,Bachelor's,6,77.5,3.7,Yes,No
51.0,High School,31,62.5,4.5,No,No
42.0,High School,23,83.0,6.5,Yes,Yes
24.0,High School,4,72.7,6.6,No,No
21.0,Bachelor's,0,47.4,6.4,Yes,No
25.0,High School,5,38.6,5.9,Yes,No
37.0,High School,19,61.9,5.8,Yes,No
46.0,High School,28,54.5,7.3,No,No
62.0,Master's,36,71.7,8.8,Yes,Yes
63.0,Master's,37,50.6,,No,Yes
27.0,Master's,2,52.7,10.0,Yes,Yes
60.0,High School,42,86.1,10.0,Yes,Yes
51.0,PhD,23,68.0,9.2,Yes,Yes
43.0,Bachelor's,19,50.9,7.7,Yes,Yes
58.0,Master's,33,65.4,10.0,Yes,Yes
20.0,Bachelor's,0,92.6,5.9,Yes,No
23.0,Bachelor's,0,70.9,4.8,No,No
22.0,Master's,0,76.9,5.4,Yes,No
22.0,High School,3,50.0,4.5,Yes,No
64.0,Bachelor's,40,85.5,6.7,Yes,Yes
40.0,Master's,15,100.0,,No,Yes
26.0,Master's,0,49.2,6.9,Yes,No
52.0,PhD,23,41.4,6.5,Yes,Yes
37.0,Bachelor's,13,68.5,6.8,Yes,Yes
59.0,High School,41,82.5,10.0,No,Yes
52.0,High School,34,63.2,7.7,No,Yes
35.0,Bachelor's,11,43.9,8.3,No,No
34.0,Bachelor's,12,62.8,6.9,No,No
41.0,High School,22,77.0,3.3,Yes,No
20.0,High School,2,56.9,2.9,Yes,No
49.0,Bachelor's,27,77.1,10.0,Yes,Yes
52.0,Master's,27,88.3,5.4,Yes,Yes
55.0,PhD,27,69.8,5.3,Yes,Yes
30.0,Master's,5,64.4,7.0,Yes,Yes
64.0,Master's,38,81.6,7.6,Yes,Yes
42.0,,,47.9,7.9,Yes,Yes
26.0,PhD,0,45.9,10.0,Yes,Yes
21.0,Bachelor's,0,59.7,9.5,Yes,Yes
31.0,Master's,6,55.2,4.9,No,No
54.0,PhD,25,48.9,8.4,Yes,Yes
51.0,PhD,24,100.0,5.7,No,Yes
28.0,,,100.0,6.2,Yes,Yes
58.0,High School,38,57.9,4.3,Yes,No
20.0,High School,2,66.8,3.1,Yes,No
45.0,High School,26,61.2,6.4,Yes,No
46.0,High School,26,87.1,4.6,No,No
26.0,High School,6,91.1,8.4,Yes,Yes
,Bachelor's,,29.5,5.9,No,No
42.0,,,74.5,7.1,Yes,Yes
51.0,Master's,27,38.9,9.2,Yes,Yes
29.0,High School,9,100.0,3.5,Yes,No
59.0,Bachelor's,35,73.8,5.1,Yes,Yes
26.0,Master's,2,48.5,6.9,Yes,No
32.0,Bachelor's,8,60.2,7.1,Yes,No
,PhD,,59.2,8.7,No,Yes
42.0,High School,22,75.5,8.2,Yes,Yes
22.0,High School,3,85.8,6.7,Yes,No
28.0,Bachelor's,5,42.0,7.1,No,No
51.0,High School,32,100.0,7.2,Yes,Yes
,Bachelor's,,97.1,3.6,Yes,Yes
32.0,Bachelor's,9,47.5,6.2,Yes,No
55.0,Bachelor's,32,66.5,7.0,No,Yes
25.0,High School,5,99.2,7.4,Yes,Yes
22.0,Bachelor's,0,89.7,4.7,Yes,No
65.0,Bachelor's,42,58.3,4.0,No,No
43.0,Bachelor's,21,81.3,6.0,No,Yes
35.0,High School,16,100.0,10.0,Yes,Yes
23.0,High School,3,67.1,4.9,No,No
54.0,High School,36,52.3,8.8,No,Yes
65.0,High School,,68.4,9.7,Yes,Yes
30.0,Master's,6,69.9,6.6,Yes,Yes
